Date,Price,Open,High,Low,Change %
"Mar 08, 1984",397.2,397.2,397.2,397.2,-0.38%
"Mar 07, 1984",398.7,398.7,398.7,398.7,-0.94%
"Mar 06, 1984",402.5,402.5,402.5,402.5,-0.81%
"Mar 05, 1984",405.8,405.8,405.8,405.8,1.70%
"Mar 02, 1984",399,399,399,399,1.60%
"Mar 01, 1984",392.7,392.7,392.7,392.7,-0.38%
"Feb 29, 1984",394.2,394.2,394.2,394.2,-1.25%
"Feb 28, 1984",399.2,399.2,399.2,399.2,1.45%
"Feb 27, 1984",393.5,393.5,393.5,393.5,-0.56%
"Feb 24, 1984",395.7,395.7,395.7,395.7,-0.63%
"Feb 23, 1984",398.2,398.2,398.2,398.2,0.76%
"Feb 22, 1984",395.2,395.2,395.2,395.2,1.59%
"Feb 21, 1984",389,389,389,389,1.81%
"Feb 17, 1984",382.1,382.1,382.1,382.1,-0.47%
"Feb 16, 1984",383.9,383.9,383.9,383.9,0.23%
"Feb 15, 1984",383,383,383,383,1.86%
"Feb 14, 1984",376,376,376,376,-0.21%
"Feb 13, 1984",376.8,376.8,376.8,376.8,-0.21%
"Feb 10, 1984",377.6,377.6,377.6,377.6,-1.41%
"Feb 09, 1984",383,383,383,383,-0.83%
"Feb 08, 1984",386.2,386.2,386.2,386.2,1.71%
"Feb 07, 1984",379.7,379.7,379.7,379.7,-0.29%
"Feb 06, 1984",380.8,380.8,380.8,380.8,-0.60%
"Feb 03, 1984",383.1,383.1,383.1,383.1,-0.03%
"Feb 02, 1984",383.2,383.2,383.2,383.2,1.35%
"Feb 01, 1984",378.1,378.1,378.1,378.1,1.18%
"Jan 31, 1984",373.7,373.7,373.7,373.7,1.05%
"Jan 30, 1984",369.8,369.8,369.8,369.8,-0.05%
"Jan 27, 1984",370,370,370,370,0.82%
"Jan 26, 1984",367,367,367,367,0.14%
"Jan 25, 1984",366.5,366.5,366.5,366.5,0.38%
"Jan 24, 1984",365.1,365.1,365.1,365.1,-1.68%
"Jan 23, 1984",371.35,371.35,371.35,371.35,0.04%
"Jan 20, 1984",371.2,371.2,371.2,371.2,-0.93%
"Jan 19, 1984",374.7,374.7,374.7,374.7,1.63%
"Jan 18, 1984",368.7,368.7,368.7,368.7,0.27%
"Jan 17, 1984",367.7,367.7,367.7,367.7,-0.38%
"Jan 16, 1984",369.1,369.1,369.1,369.1,-1.10%
"Jan 13, 1984",373.2,373.2,373.2,373.2,1.28%
"Jan 12, 1984",368.5,368.5,368.5,368.5,0.22%
"Jan 11, 1984",367.7,367.7,367.7,367.7,-0.94%
"Jan 10, 1984",371.2,371.2,371.2,371.2,1.64%
"Jan 09, 1984",365.2,365.2,365.2,365.2,-2.67%
"Jan 06, 1984",375.2,375.2,375.2,375.2,0.00%
"Jan 05, 1984",375.2,375.2,375.2,375.2,0.32%
"Jan 04, 1984",374,374,374,374,-2.35%
"Jan 03, 1984",383,383,383,383,0.39%
"Dec 30, 1983",381.5,381.5,381.5,381.5,-0.24%
"Dec 29, 1983",382.4,382.4,382.4,382.4,1.16%
"Dec 28, 1983",378,378,378,378,0.08%
"Dec 27, 1983",377.7,377.7,377.7,377.7,-0.74%
"Dec 23, 1983",380.5,380.5,380.5,380.5,0.42%
"Dec 22, 1983",378.9,378.9,378.9,378.9,0.08%
"Dec 21, 1983",378.6,378.6,378.6,378.6,0.13%
"Dec 20, 1983",378.1,378.1,378.1,378.1,0.83%
"Dec 19, 1983",375,375,375,375,-0.58%
"Dec 16, 1983",377.2,377.2,377.2,377.2,-2.96%
"Dec 15, 1983",388.7,388.7,388.7,388.7,-0.08%
"Dec 14, 1983",389,389,389,389,-0.05%
"Dec 13, 1983",389.2,389.2,389.2,389.2,-0.51%
"Dec 12, 1983",391.2,391.2,391.2,391.2,0.64%
"Dec 09, 1983",388.7,388.7,388.7,388.7,-3.07%
"Dec 08, 1983",401,401,401,401,0.33%
"Dec 07, 1983",399.7,399.7,399.7,399.7,0.68%
"Dec 06, 1983",397,397,397,397,-0.05%
"Dec 05, 1983",397.2,397.2,397.2,397.2,-0.87%
"Dec 02, 1983",400.7,400.7,400.7,400.7,0.38%
"Dec 01, 1983",399.2,399.2,399.2,399.2,-1.43%
"Nov 30, 1983",405,405,405,405,3.45%
"Nov 29, 1983",391.5,391.5,391.5,391.5,-0.68%
"Nov 28, 1983",394.2,394.2,394.2,394.2,4.92%
"Nov 25, 1983",375.7,375.7,375.7,375.7,0.00%
"Nov 23, 1983",375.7,375.7,375.7,375.7,-0.21%
"Nov 22, 1983",376.5,376.5,376.5,376.5,0.61%
"Nov 21, 1983",374.2,374.2,374.2,374.2,-0.27%
"Nov 18, 1983",375.2,375.2,375.2,375.2,-0.13%
"Nov 17, 1983",375.7,375.7,375.7,375.7,-1.96%
"Nov 16, 1983",383.2,383.2,383.2,383.2,0.00%
"Nov 15, 1983",383.2,383.2,383.2,383.2,0.16%
"Nov 14, 1983",382.6,382.6,382.6,382.6,0.16%
"Nov 11, 1983",382,382,382,382,0.05%
"Nov 10, 1983",381.8,381.8,381.8,381.8,-0.31%
"Nov 09, 1983",383,383,383,383,0.21%
"Nov 08, 1983",382.2,382.2,382.2,382.2,0.84%
"Nov 07, 1983",379,379,379,379,-0.52%
"Nov 04, 1983",381,381,381,381,0.87%
"Nov 03, 1983",377.7,377.7,377.7,377.7,-1.38%
"Nov 02, 1983",383,383,383,383,1.40%
"Nov 01, 1983",377.7,377.7,377.7,377.7,-1.13%
"Oct 31, 1983",382,382,382,382,-1.47%
"Oct 28, 1983",387.7,387.7,387.7,387.7,0.83%
"Oct 27, 1983",384.5,384.5,384.5,384.5,-2.06%
"Oct 26, 1983",392.6,392.6,392.6,392.6,-1.36%
"Oct 25, 1983",398,398,398,398,0.89%
"Oct 24, 1983",394.5,394.5,394.5,394.5,0.08%
"Oct 21, 1983",394.2,394.2,394.2,394.2,1.15%
"Oct 20, 1983",389.7,389.7,389.7,389.7,-1.09%
"Oct 19, 1983",394,394,394,394,-0.81%
"Oct 18, 1983",397.2,397.2,397.2,397.2,0.56%
"Oct 17, 1983",395,395,395,395,-0.93%
"Oct 14, 1983",398.7,398.7,398.7,398.7,0.03%
"Oct 13, 1983",398.6,398.6,398.6,398.6,0.99%
"Oct 12, 1983",394.7,394.7,394.7,394.7,-1.08%
