,predicted_volatility,actual_volatility
424,0.5303110480308533,2.594863848854083
425,0.5237994194030762,2.6507587626512485
426,0.5186244249343872,2.634947331118266
427,0.5154249668121338,2.635943901915992
428,0.5143053531646729,2.694943285611987
429,0.5149799585342407,2.6975936287570987
430,0.5174533724784851,2.787306838958656
431,0.5218921899795532,2.8116755459801346
432,0.5283280611038208,2.798045912159633
433,0.5363687872886658,2.8010714759218076
434,0.5452789664268494,2.777411168619088
435,0.5541172623634338,2.808250362353602
436,0.5620805025100708,2.8003243061107126
437,0.5685880780220032,2.804621595925922
438,0.5733147859573364,2.802560111287047
439,0.5762162804603577,2.790750452913912
440,0.5774213075637817,2.7905170408821514
441,0.5772576928138733,2.790840054321752
442,0.5760466456413269,2.7492282589650303
443,0.5739704966545105,2.6225068334285107
444,0.5706341862678528,2.56526252859617
445,0.565306544303894,2.577281943546982
446,0.5577771663665771,2.5622926743902052
447,0.5483306050300598,3.1086232702147063
448,0.5405179262161255,3.1391721577584395
449,0.5381276607513428,3.1495887537826044
450,0.5434106588363647,3.180041935964278
451,0.5567622780799866,3.178538304465529
452,0.5766387581825256,3.172641580023347
453,0.600359320640564,3.168245597972473
454,0.6248152256011963,3.1677117851966785
455,0.647140622138977,3.170230247888964
456,0.665260910987854,3.1717782710012026
457,0.6780250668525696,2.9288566815440213
458,0.6840280890464783,2.9674933215152666
459,0.6828663349151611,2.9712763196685312
460,0.6753409504890442,2.9883751199522526
461,0.6632403135299683,2.9912922394374752
462,0.6487827897071838,2.98081564982205
463,0.6340961456298828,3.2369264441724894
464,0.6222835183143616,3.260079113700714
465,0.6160056591033936,3.285020850189591
466,0.6165737509727478,3.2921827719367767
467,0.6238002777099609,3.3133264904934583
468,0.6362192034721375,3.290379570300212
469,0.6511325836181641,3.399048746497748
470,0.6670045852661133,3.4518804195057076
471,0.6828055381774902,3.476059431418164
472,0.6978124380111694,3.4683711154937686
473,0.7114053964614868,3.4482889561810555
474,0.7229239344596863,3.4315508640070758
475,0.7317559123039246,3.578131032057022
476,0.7383233308792114,3.675137947755375
477,0.7438711524009705,3.810309822288391
478,0.7503477931022644,3.7735913590579395
479,0.7590257525444031,3.789643888897774
480,0.769903838634491,3.732892264385837
481,0.7819533944129944,3.769214214782202
482,0.7939121723175049,3.825318677960107
483,0.804928183555603,3.8247718862139477
484,0.814288318157196,3.8272976403348267
485,0.8214294910430908,3.8615722017610556
486,0.8265227675437927,3.862826296104627
487,0.829925000667572,3.86759318963939
488,0.8320525884628296,3.8676604661124254
489,0.8332844376564026,3.8698139043735713
490,0.833881676197052,3.886153143392989
491,0.8340286016464233,3.883968983573463
492,0.8339422345161438,3.884630189975576
493,0.8338108658790588,3.88348520558127
494,0.8337681293487549,3.8837842529424624
495,0.833878755569458,3.876652559313083
496,0.8339996933937073,3.9004823790093592
497,0.8340064287185669,3.499371167260082
498,0.8317365050315857,3.4926312522510896
